Work Id Number,Work Name,Block,Panchayat
202137600614,"Under the Municipality Kirandul, under environmental protection and pollution control measures, intensive tree plantation and establishment of oxygen zone work at Phase-2 Ward No.-2 - Part-2",KUWAKONDA,
202237600662,High mast lighting works in public places,DANTEWADA,
202237601213,Pump electrification work through Anicut,DANTEWADA,
202237600649,Smart class operation for quality education to students of classes 1st to 12th studying in 55 government schools under Dantewada and Kuakonda development blocks of Dantewada district.,DANTEWADA,
202437600381,Operational work of Bal Mitra Fellowship Program in 64 Panchayats of the district.,DANTEWADA,
202537600751,Operation of Choo Lo Aasman Girls/Boys Residential Complex Karli and Balud operated in the district (Nutrition and Supplementary Nutrition Staff Honorarium and other necessary works),DANTEWADA,
202437600064,"Geedam Bijapur Road Construction Work 30 Km Farasamudur (including culvert construction, towline and retaining wall) from Part 01 to Part 08",GEEDAM,
202137600239,Supply of material for making 50 bed isolation center/covid care center to pre-metric hostel Nakulnar and Pota Cabin Bangalore operated in the district.,DANTEWADA,
202537600621,"In the academic session 2025-26, against a total of 110 vacant posts at the high and higher secondary level operated under the district, teaching arrangement with local guest teachers, work of 10 months and 15 days of guest teachers (from 16 June 2025 to April 2026).",DANTEWADA ,
202237600770,Provision of honorarium to guest teachers in primary/secondary/high secondary schools operating in all four development blocks of the district.,DANTEWADA,
202437601546,Honorarium payment work of newly appointed medical officers (on contract) in various primary and community health centers under South Bastar Dantewada district. Financial year 2024-2025,DANTEWADA,
202437600631,Operational work of Chief Minister's Nutrition Scheme (April 2024 to June 2024),DANTEWADA,
202137600672,"100 tube wells for farmers in the district and pump replacement work, Part-1",DANTEWADA,
202237600126,Potali,DANTEWADA,
202437601074,Aastha Vidya Mandir Chowkidar Quarter Kirandul (G$3) Building Construction Work.,KUWAKONDA,
202237600848,High mast light fixing work at Devgudi Gauthan Hot-Bazar and other public places 30 units,DANTEWADA,
202437602880,Construction work of 100 seater girls' ashram Barsur,GEEDAM,
202537601073,Beekeeping program in the fields of 400 self-help groups/women of Dantewada district.,DANTEWADA,
202337601417,Honorarium of guest teachers working in primary/secondary schools in all four development blocks of Dantewada district,DANTEWADA,
202237601068,"Necessary upgradation work in Model Community Health Centre-Geedam Smart CHC and Trauma Centre, Part-2",GEEDAM,
202237601067,Necessary upgradation work in Model Community Health Centre-Geedam Smart CHC and Trauma Centre Part-1,GEEDAM,
202237600246,Food grade Mahua flower collection work under Dantewada district,DANTEWADA,
202237600433,"Tube well mining cum hand pump installation work for drinking water facility in Para Tola Bashats of various villages of the district, Part-1",DANTEWADA,
202337601322,"D.A.V. Chief Minister Public School and Hostel Kumharras, Javanga and Hitavar Scholarship Honorarium Work.",DANTEWADA,
202437601967,Tata Magic procurement work to improve transportation facilities in Dantewada district,DANTEWADA,
202137600615,Construction work of minor irrigation scheme for irrigation facility under Dantewada district,GEEDAM,
202437602752,"4 Boys Pota Cabin Residential Room and School Repair Work in Development Block Katekalyan, Dhanikarka Part 1-2 and Bangalore",KATEKALYAN,
202437602556,"Construction, installation, material supply and operation work of District Science Centre",DANTEWADA,
202137600622,Installation of hand pumps by digging tube wells for drinking water in various villages of Dantewada district.,DANTEWADA,
202537600872,"For distribution of power sprayers and hand fans for providing immediate relief to the farmers affected by heavy rains, floods and disasters in the four blocks Dantewada, Geedam, Kuakonda and Katekalyan Kharif year 2025.",DANTEWADA,
202337601635,For the successful operation of Chief Minister's Nutrition Scheme (from October 2023 to December 2023),DANTEWADA,
202537601020,Egg supply work for two days a week for the students studying in primary and secondary schools run in Dantewada district.,DANTEWADA,
202337601204,Operational work of Chief Minister's Nutrition Scheme (July 2023 to September 2023),DANTEWADA,
202137600376,Provision of honorarium to guest teachers working in Primary/Secondary High/Higher Secondary School and Pota Cabin Palanar in all four development blocks of the district (from August 2021 to April 2022),DANTEWADA,
202237600690,"Funding work for running the Chief Minister's Nutrition Campaign in the district, Part-1",DANTEWADA,
202437601769,Supply of eggs for two days a week to students studying in primary and secondary schools in Dantewada district (from August 2024 to April 2025).,DANTEWADA,
202437601841,Supply of human resources for 300 beds in District Hospital Dantewada and other health institutions,DANTEWADA,
202137600537,"Under the Uzar 100 scheme, work related to providing financial assistance to students, part-one",DANTEWADA,
202437600628,Egg distribution work to the beneficiaries of all centers for the nutrition program in Dantewada district (03 months),DANTEWADA,
202237600672,Part-two of the honorarium work of doctors/health workers and all other doctors and employees working in primary/sub-health/community centers under Dantewada district.,DANTEWADA,
202337601191,Construction of railway under bridge and approach road at Km 403/13-14 of Kirandul Bacheli railway route in Dantewada district.,DANTEWADA,
202237600308,"Agricultural equipment sprinkler power weeder brushcutter battery sprayer distribution work under poverty alleviation in the district, part-one",DANTEWADA,
202337600256,Chief Minister's Nutrition Campaign Nutrition Diet Work in the District,DANTEWADA,
202437601633,"Supply of power tiller, power wheat, electric winnowing fan and brush cutter equipment to 40 groups of organic farmers of Dantewada district for weed control and better farming.",DANTEWADA,
202337601411,Honorarium of special/guest teacher counselor assistant superintendent and employees in Choolo Aasman girl/boy,DANTEWADA,
202237600090,Equipment supply work for Nava Dantewada Garment Factory,DANTEWADA,
202237600767,"Work provided for honorarium of special teacher/guest teacher, counselor, assistant superintendent and employees in Chhulo Aasman Residential School Girls/Boys Karli and Balud",DANTEWADA,
202237600193,Various livelihood related works under sustainable livelihood,DANTEWADA,
202237600143,High mast lighting work at public places,DANTEWADA,
202537600509,"Higher education skill development courses (software, programming, education management, finance media, graphic, design etc.) for 12th passed students of the district. Working amount.",DANTEWADA,
202137600472,Supply of necessary materials for solar energy street lights in 50 ashram hostels in the district,DANTEWADA,
202237600429,Installation of solar mini high mast lights in ashrams/hostels in the district,DANTEWADA,
202437602478,Honorarium salary provision work for smooth functioning of medical system in District Hospital Dantewada,DANTEWADA,
202237600048,"Supply of reading tables and chairs, essential materials for ashrams/hostels in the district",DANTEWADA,
202237600302,"Under NGGB, basic infrastructure, livelihood promotion, multi-activity centre development and other necessary works in Gauthans.",DANTEWADA,
202537600442,"Roofing slope sheet work and rain water harvesting construction work in Anganwadi Bhawan, Development Block Geedam. 100 Nos.",GEEDAM,
202237600604,Iron Removal Plant Replacement Work in Hand Pump Part-1,DANTEWADA,
202137600254,"Operation through ""Smart Class"" for providing quality education to students of classes 1st to 8th studying in a total of 33 primary/secondary schools under Dantewada district.",DANTEWADA,
202537600752,Coaching facilities for preparation of JEE/NEET examination are to be provided to the students studying in Chhoo Lo Aasman institute run in the district.,DANTEWADA,
202137600536,Electrification work in the ashrams/hostels operated in the district,DANTEWADA,
202437601353,"To increase the convenience of transportation in Dantewada district, 05 nos. bus facility provision work",DANTEWADA,
202237600046,Honorarium payment work of doctors/health workers and all other employees working in primary/sub health/community centers under Dantewada district (December 2021 to March 2022),DANTEWADA,
202437601934,Purchase of sweaters for 18167 students studying in residential schools run by the Education and Tribal Welfare Department.,DANTEWADA,
202237600645,Operation of smart classes for the convenience of students studying up to primary/secondary level in Swami Atmanand Excellent English Medium Schools under all four development blocks of Dantewada district.,DANTEWADA,
202437602546,Channel link wire fencing work for farmers of development block Geedam (total 60 farmers),GEEDAM,
202237600631,Provision of honorarium to doctors/health workers and all other doctors and employees working in primary/sub-health/community centers under District-Dantewada,DANTEWADA,
202137600494,Supply of RO water filter material for 47 ashrams/hostels operating in the district,DANTEWADA,
202137600173,Supply of maths kits for students studying in primary/secondary schools of the district,DANTEWADA,
202337601625,"Training, capacity development, publicity, organic certification and other works for organic district Dantewada",DANTEWADA,
202237600323,Supply of sports kits for sports competitions to tribal students studying in ashrams/hostels run in the district.,DANTEWADA,
202237601198,Electricity line extension work along the river bank in the district,DANTEWADA,
202437602538,"Renovation work, lab setup work and hostel material purchase work in District Project Livelihood College",DANTEWADA,
202437601613,Operation of Lakshya Competition Examination Training Centre in Dantewada district/honorarium of employees and necessary material work,DANTEWADA,
202437600752,Tube well digging and pump installation work,DANTEWADA,
202437602917,Establishment of open gyms in 56 secondary/high/higher secondary schools operating in the district,DANTEWADA,
202537600760,"For the operation of Lakshya Competition Examination Training Centre in Dantewada district in the year 2025-26, honorarium of employees and other expenditure work.",DANTEWADA,
202237600147,Supply of assistive devices for the disabled people of the district,DANTEWADA,
202537601072,Emergency construction work for establishment of food processing unit in Dantewada district.,DANTEWADA,
202437602617,Swings are being installed in 50 kindergartens in Dantewada district.,DANTEWADA,
202337601556,For nutrition and supplementary nutrition expenditure in Chhulo Aasman Girls/Boys Residential Complex-Balud Karli 2023-24,DANTEWADA,
202137600242,"Work provided for honorarium of special teacher/guest teacher, counselor, assistant superintendent and employees in Chhoo Lo Aasman Residential School Girls/Boys Karli and Balud",DANTEWADA,
202437602755,Repair work in 3 Pota Cabins Mendoli Part 1 and 2 and Bhaansi of Development Block Dantewada Boys Residential School,DANTEWADA,
202237600480,Renovation work of school buildings of educational institutions of the district,DANTEWADA,
202137600219,Construction of Burn Unit in District Hospital-Dantewada,DANTEWADA,
202537600774,"Components of oil pop plantation work in the fields of farmer groups/farmers of development block Katekalyan, channel link wire fencing work including tube well mining pump installation and farmer share amount assistance work for drip installation work.",KATEKALYAN,
202237600047,"Work provided for honorarium of special teacher/guest teacher, counselor, assistant superintendent and employees in Chhulo Aasman Residential School for Girls/Boys, Karli and Balud",DANTEWADA,
202437600987,"Tubewell mining pump installation work for the farmers of development blocks Dantewada, Geedam and Kuakonda (total-48 farmers)",DANTEWADA,
202237600657,Greenhouse construction work in Government Garden Nursery Muchnar and Gatam,DANTEWADA,
202437600765,Additional supplementary nutrition work for mid-day meal in primary schools from 16 June 2024 to 30 April 2025,DANTEWADA,
202537600775,"Components of oil pop plantation work in the fields of farmer groups/farmers of development block Kuakonda, channel link wire fencing work including tube well mining pump installation and farmer share amount assistance work for drip installation work.",KUWAKONDA,
202237600614,"Supply of material for running OPD in Pathology Lab under District Hospital-Dantewada, Part-1",DANTEWADA,
202537600547,Construction and operation work of community based tourist camp at Kumharras under BOTC and revenue sharing model,DANTEWADA,
202537600502,Tree plantation work for allotment of forest land under the construction work of inter-state bus stand in Dantewada district.,DANTEWADA,
202337600778,For nutrition and supplementary nutrition in Chulo Aasman Girls/Boys residential complex Karli and Balud.,DANTEWADA,
202237600260,Morenga Fortified Chikki nutritious food supply work in Anganwadi centers of the district,DANTEWADA,
202237600319,CCTV installation work in the ashrams/hostels operating in the district,DANTEWADA,
202237600465,Street light extension work in various wards under Nagar Panchayat-Barsur area,GEEDAM,
202337600356,Drip replacement work in 60.00 hectares in the fields of farmers of the district,DANTEWADA,
202437601355,"Purchase of exercise material for students from class 6th to 12th for open gym in 52 selected institutions Secondary School/High/Higher Secondary School/Potakabin and Saksham-2/Chhoo-Lo Aasman Balud, Karli operating in all four development blocks of Dantewada district.",DANTEWADA,
202437601287,Operational work of Padhe Dantewada-Likhe Dantewada program for the financial year 2024-25,DANTEWADA,
202237600313,Work to develop Anganwadi Centre in the district as a model Anganwadi Centre,DANTEWADA,
202437602916,Honorarium salary work of local guest teacher against total 381 vacant posts at primary/secondary/high and higher secondary level operated under the district.,DANTEWADA,
202337600557,Tube well mining and pump installation work drilling 150 mini (farmer no. 43),DANTEWADA,
202337600552,Tube well digging and pump installation work (number of farmers 43),DANTEWADA,
202237600024,Supply of freezer cooker and tin box for Pota Cabin Kasturba Gandhi Girls Residential School operated in the district.,DANTEWADA,
202237600435,Various works related to upgradation of Adarsh ​​Ashram/Hostels in the district,DANTEWADA,
202237600320,Supply of foam mattresses for bedrooms in residential premises for students studying/residing in ashrams/hostels operated in the district.,DANTEWADA,
202137600538,"Under the Ujar 100 scheme, work related to providing financial assistance to students, part-two",DANTEWADA,
202137600296,Various sustainable livelihood activities,DANTEWADA,
202137600435,"Under the Municipality Kirandul, under environmental protection and pollution control measures, intensive tree plantation and establishment of oxygen zone work is being done at Phase-1 Ward No. 02.",KUWAKONDA,
202237600468,Tube well mining work for drinking water supply under Dantewada district,DANTEWADA,
202237600127,Supply of assistive devices and materials for the disabled/elderly people of Dantewada district,DANTEWADA,
202137600619,Supply of assistive devices for the welfare of the disabled people of the district,DANTEWADA,
202237600424,"Group fencing, tube well mining and drip irrigation installation work for farmers holding forest rights certificate/revenue land under Dantewada district.",DANTEWADA,
202237600478,"Food grade Mahua flower collection work under Dantewada district, Part-03",DANTEWADA,
202237600476,"Food grade Mahua flower collection work under District-Dantewada, Part-02",DANTEWADA,
202137600500,Construction of Matikala Centre for the implementation of the overall development plan,DANTEWADA,
202237600617,Iron Removal Plant Replacement Work in Hand Pump Part-2,DANTEWADA,
202237600430,Channel link wire fencing work for livelihood promotion through agriculture work to the farmers of the district under Poona Madakal poverty alleviation.,DANTEWADA,
202137600636,Municipality market construction work in Nagar Panchayat-Geedam,GEEDAM,
202437601524,"Purchase of essential materials (mattress, pillow, bed sheet, mattress and blanket) for the students studying in Pota Cabin operated in the district.",DANTEWADA,
202137600407,Supply of essential materials to the district-run COVID Center – Cherpal Nakulnar Bangalore,DANTEWADA,
202237600116,Supply of useful materials for the operation of ashrams/hostels in the district,DANTEWADA,
202237600089,"Priorities of the state government, such as NGGB Gauthan and livelihood-related work",DANTEWADA,
202537600880,Strengthening and renovation work from Katekalyan main road to old bridge Dankani river Dantewada with a length of 1850 m.,DANTEWADA,
202137600097,Provision of honorarium to doctors/health workers and all other doctors and employees working in primary/sub-health/community centers under Dantewada district.,DANTEWADA,
202437602911,"Purchasing of necessary material for 19 steam boiler units (for cooking food) for students studying in Pota Cabin, Kasturba Gandhi Balika Residential School and Nanhe Parinde operated in the district.",DANTEWADA,
202137600562,"Sanitary napkin weaving machine and incinerator installation work in the district, part-two",DANTEWADA,
202437601005,Channel link wire fencing work for farmers of Dantewada Geedam and Kuakonda development block (total 39 farmers),DANTEWADA,
202237600691,"Funding work for running the Chief Minister's Nutrition Campaign in the district, Part-2",DANTEWADA,
202437601889,Honorarium amount of total 60 vacant local guest teachers at high and higher secondary level operated in the district,DANTEWADA,
202237601069,"Necessary upgradation work in Model Community Health Centre-Geedam Smart CHC and Trauma Centre, Part-3",GEEDAM,
202137600600,Supply of RO water coolers to various government schools operating in the district.,DANTEWADA,
202437600303,Supply of night dresses to residential students in hostels under Dantewada district.,DANTEWADA,
202237600125,Food grade Mahua flower collection work under Dantewada district,DANTEWADA,
202437602536,"To improve the transportation facilities in Dantewada district, 3 bus services are available.",DANTEWADA,
202437600321,Electrification work of 63 pumps under Dantewada district.,DANTEWADA,
202437600460,"Construction of strengthening BT road from Km 1/2 to 6/10 - 06 Km of Udela-Khutepal, RCC drain retaining wall and slab culvert construction work revised",DANTEWADA,
202237600613,Supply work for purchasing assistive devices and materials for the disabled people of the district,DANTEWADA,
202337601465,Work related to DAV school and hostel under Dantewada district,DANTEWADA,
202437601969,"Procurement work for smooth functioning of Soil Testing Laboratory, Geedam and post structure and requirement of other necessary materials and equipment.",DANTEWADA,
202537600055,Operation of 03 new Child Friendly Libraries and Activity Centres in the district and salary/honorarium work of Field Mobilizer (2 years),DANTEWADA ,
202437601582,"Street light work in Ward No. 1 Patarras, Ward No. 2 Jailbari Road, Ward No. 3 Katiyarras, Ward 7 HUDCO Colony, Ward No. 9 Chuditikra Para, Ward No. 6 in front of Collectorate, Ward No. 12 Nayapara Balud to Gauthan Balud Road.",DANTEWADA,
202237600644,Honorarium supply work of doctors/health/employees and all other doctors and employees working in primary/sub-health/community centers under district-Dantewada from the month of April 2022 to May 2022,DANTEWADA,
202537600632,"Under the Tribal Development Department, 15 pre-matric hostels provide food assistance to post-matric children (11th and 12th).",DANTEWADA ,
202137600603,Supply work of angle iron plank foam mattress for essential materials for the ashrams/hostels operated in the district,DANTEWADA,
202437600357,Training work of employable youth tattoo art (godna) under skill upgradation program in Dantewada district.,DANTEWADA,
202137600592,Installation work of 02 Para Cutter Machine in the district,DANTEWADA,
202137600188,Distribution of battery cum hand operated sprayer pumps to the farmers of the district,DANTEWADA,
202437600082,"Under the Ujjar 100 scheme, financial assistance will be provided to the benefited students for higher education. Year 2024-25",DANTEWADA,
202237600440,Supply work for purchasing assistive devices and materials for the disabled people of the district,DANTEWADA,
202437602227,"03 Construction of 60 toilets and 60 bathrooms in Potakebip residential Chitalur, Bhansi, and Kuakonda No. 2 (Hitawar)",DANTEWADA,
202537600623,Honorarium amount for a total of 10 months from July 2025 to 30 April 2026 to 52 guest teachers posted as single teachers and teachers in primary and secondary schools run in Dantewada.,DANTEWADA ,
202237600648,Supply of table material for residential premises for students studying/residing in ashrams/hostels operated in the district,DANTEWADA,
202437600484,Channel link wire fencing work for 29 beneficiaries under Mochobari scheme,DANTEWADA,
202537600776,Tube well digging and pump installation and channel link fencing work for Naxal affected families.,DANTEWADA,
202237600615,"Supply of material for running OPD in Pathology Lab under District Hospital-Dantewada, Part-2",DANTEWADA,
202437602747,"2 boys Pota cabin residential room and school repair work in Vikakhand Kuakonda, Kuakonda part 1-2",KUWAKONDA,
202537600527,For new estimate in respect of Digital Planetarium Type-3 being constructed in the district by National Council of Science Museums.,DANTEWADA,
202437601482,Ward No.-15 Tubular pole installation work from Mahangu Para river to Sonarpara.,GEEDAM,
202437601927,Construction of cottages and huts for tourist rest purposes Part-I,GEEDAM,
202137600601,Supply of mosquito nets along with takhat storage to the students studying in the ashrams/hostels operated in the district.,DANTEWADA,
202137600168,Coaching work/training work in the Lakshya Competition Centre of the district (students/training work (number of students 66) Part-1,DANTEWADA,
202237600129,Supply of sports kits for sports competitions to students studying in ashrams/hostels run in the district.,DANTEWADA,
202537600479,"For the honorarium amount of 11 employees appointed on contractual posts in Swami Atmanand Utkrisht English Medium School, Barsoor, operated under Dantewada district, from January 2025 to April 30, 2026.",GEEDAM,
202237600292,Virology Lab installation work in District Hospital-Dantewada,DANTEWADA,
202537600137,Various works in Vanmandir area,DANTEWADA,
202137600426,Supply of assistive devices for the disabled under Geedam area,GEEDAM,
202137600379,Various works for Nava Dantewada Garment Factory (Denex) Unit 03,DANTEWADA,
202537600622,Honorarium amount work to a total of 45 guest teachers in Pota Cabin Residential (Primary / Secondary level and High School level) schools operated in Dantewada district from the month of July 2025 to 30 April 2026.,DANTEWADA ,
202137600585,Work to promote sports activities of youth in the district,DANTEWADA,
202137600488,"Supply of assistive devices for the disabled under Geedam area, petrol operated scooter, two wheeler, extra, battery operated tricycle, wheel chair with commode, chair stool with commode and hearing aid (beneficiary number-75)",DANTEWADA,
202537600108,Establishment of millet processing units at district and block levels,DANTEWADA,
202137600673,"28 tube wells for farmers in the district and pump replacement work, part-two",DANTEWADA,
202237601197,"Distribution of seeds to farmers for farming on the banks of the river in the district, supply of open well electric pump 5 HP accessories and open well electric pump 3 HP.",DANTEWADA,
202437602595,Supply of agricultural machinery to progressive farmers of the district who practice organic farming.,DANTEWADA,
202437602798,For publicity to promote tourism areas in Dantewada district,DANTEWADA,
202437601638,Purchase of material for students in the ashrams/hostels operating in the district (mattress-500 and bedsheet-4500 pieces),DANTEWADA,
202237600651,Establishment of biogas power generation plant in Dantewada Nagar Gauthan and Geedam Nagar Gauthan,DANTEWADA,
202437601842,Youth Hub operation to catalyze economic opportunities for rural women and youth in Dantewada district,DANTEWADA,
202437602165,"Purchase of musical instruments, books and other materials for conducting new subject Bachelor of Performing Arts and Bachelor of Fine Arts classes.",DANTEWADA,
202137600561,"Sanitary napkin weaving machine and incinerator installation work in the district, part-one",DANTEWADA,
202437601788,Driver training and vehicle distribution work to the beneficiaries of Niyyad Nellanar Gram Panchayats,DANTEWADA,
202137600504,Seed supply work for expansion of double cropping area and promotion of Utera crop in the Rabi season of the district.,DANTEWADA,
202437602887,Construction of Pharmacy (Medicine Distribution Room) Medical Store and Stainless Rack in Medicine Store under District Hospital Dantewada,DANTEWADA,
202337600655,Salary of 17 Animal Assistant Veterinary Field Officers in the Veterinary Hospitals/Dispensaries of the District,DANTEWADA,
202237600288,To reduce anemia in the Geedam development block of the district.,GEEDAM,
202437601430,Organizing test/examination series 2024-25 to improve the quality of government schools in Dantewada district and to achieve better results in high/higher secondary board examinations.,DANTEWADA,
202137600220,Construction of Emergency Unit at District Hospital-Dantewada,DANTEWADA,
202137600380,Various works for Nava Dantewada Garment Factory (Denex) Unit 04,DANTEWADA,
202237600701,Building renovation work in Dantewada under urban area,DANTEWADA,
202237600066,Provision of honorarium to officers/employees and others working for operation of Two-Not Lab/Virology Lab in District Hospital-Dantewada,DANTEWADA,
202537600772,"Components of oil pop plantation work in the fields of farmer groups/farmers of development block Dantewada, including channel link wire fencing work, tube well mining pump installation and farmer share amount assistance work for drip installation work.",DANTEWADA,
202337601243,Road lighting work from Old Bus Stand Geedam to Forest Produce Check Post Geedam,GEEDAM,
202237600309,"Under poverty alleviation in the district, agricultural equipment sprinkler power weeder brushcutter battery sprayer distribution work part-two",DANTEWADA,
202537600027,"Platform/shed construction work (07 nos.) in organic market, paver block, gate bore mining and toilet block construction work",DANTEWADA ,
202237600646,Supply of material for foam mattress for bedroom in residential complex for students studying/residing in Ashram/Hostels operated in the district,DANTEWADA,
202537600437,"Practical knowledge, legal and regulatory knowledge, startup related information and skills etc. required to successfully start and manage a business to 50 participants at Indian Institute of Management Raipur.",DANTEWADA,
202437602895,"New wards 01 and 02 in 2 dome sheds, repair and maintenance of fire fighting system, washroom in casualty ward, dialysis room, water proofing of roof and construction of waiting shed in front of post mortem room in District Hospital Dantewada.",DANTEWADA,
202337600442,Tube well excavation and pump installation work for the purpose of promoting agriculture work in Geedam.,GEEDAM,
202437602416,Availability of organic inputs to the farmers of the district through Bio Input Resource Centre (BRC) and establishment of mobile organic farmer service centre in weekly haat markets.,DANTEWADA,
202137600321,"CC road repair work from public toilet to Anganwadi Bhawan, Ward No. 07",GEEDAM,
202537600773,"Components of oil pop plantation work in the fields of farmer groups/farmers of development block Geedam, channel link wire fencing work including tube well mining pump installation and farmer share amount assistance work for drip installation work.",GEEDAM,
202237600599,Residential operation and other arrangements of Eklavya Sports Complex Jawanga,DANTEWADA,
202337600323,Operational work of DAV Model School Hostel operated in the district,DANTEWADA,
202237600804,Supply of vermicompost sieving equipment to self-help groups of the district,DANTEWADA,
202437602593,Supply of agricultural machinery to progressive farmers of the district who practice organic farming.,DANTEWADA,
202237600612,Supply of battery operated tricycles for elderly disabled persons in the district,DANTEWADA,
202437602841,"New bore mining work of 22 nos. and installation of 04 nos. power pumps in sub-health centre, postmortem, tehsil ashram and hostels operated in the district.",DANTEWADA,
202537600047,"Construction of toilets and bathrooms for boys and girls in 4 residential schools located in Katekalyan development block, Bengaluru, Gatam, Dhanikarka and Mokpal.",KATEKALYAN ,
202537600046,"Construction of toilets and bathrooms for boys and girls in 4 residential schools located in Geedam development block, Bangapal, Kasoli, Hitameta and Gumda.",GEEDAM,
202137600226,Supply of tractors and accessories to farmer groups in the district,DANTEWADA,
202237600025,Supply of fire extinguishing equipment material for the district's ashrams/hostels,DANTEWADA,
202137600610,"Supply of battery operated tricycle, tetrapod, hand stick equipment for the welfare of the disabled people of the district.",DANTEWADA,
202237600431,Supply work for desert cooler material for Ashram/Hostels of the district,DANTEWADA,
202137600241,Work provided for admission of 20 students for 02 year course for Dental Hygienist and Dental Mechanics Diploma course,DANTEWADA,
202237600508,Electrification system and transformer installation work under Nagar Panchayat-Geedam area,GEEDAM,
202137600658,Culvert cum retaining wall construction work near the pond in Ward No. 09 Manjhipadar,DANTEWADA,
202137600479,Providing funds for security guard soft skill and computer skill training to sponsor employment to unemployed youth/girls of the district.,DANTEWADA,
202137600475,E-education system work under digital education in educational institutions run from DMF funds.,DANTEWADA,
